Source,Destination,Item name,Extension,Item size (bytes),Type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name,Server error message
"E:\FTP\_E Commerce\EMEA\E-COMMERCE (Ripa Begum)\13. OTHER\Ripa - implementations and stock\Paul - handover 12-30th Sep\Mastercard approvals\ IL CENTRO XMAS - PDF proof for approval.msg","https://emlpayments.sharepoint.com/sites/EC-E/Shared Documents/E-COMMERCE (Ripa Begum)/13. OTHER/Ripa - implementations and stock/Paul - handover 12-30th Sep/Mastercard approvals/ IL CENTRO XMAS - PDF proof for approval.msg"," IL CENTRO XMAS - PDF proof for approval.msg",".msg","1055744","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","e96fe70b-0818-5f47-8b47-9c48547df395","e96fe70b-0818-5f47-8b47-9c48547df395","N/A","N/A","1","f780411d-b33b-48a3-8f3f-f0d2d7dd526f","devblue","N/A"
"E:\FTP\_Card Production\EMEA\Customers\ITALY\Limbiate (Italy)\5. E-mails\ iplabs #39344  FEVIT   New Centre - Centro Commerciale Metropolis.msg","https://emlpayments.sharepoint.com/sites/CP-E/Shared Documents/Customers/ITALY/Limbiate (Italy)/5. E-mails/ iplabs #39344  FEVIT   New Centre - Centro Commerciale Metropolis.msg"," iplabs #39344  FEVIT   New Centre - Centro Commerciale Metropolis.msg",".msg","27136","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","8e274d71-9cee-5e35-9dbe-923469144ee0","8e274d71-9cee-5e35-9dbe-923469144ee0","N/A","N/A","1","b7b35cf7-cc53-4c26-95ac-60ac45d4b2a2","devblue","N/A"
